RodrigoFoil           
         1           0
   0.96042   0.0063221
   0.92172    0.012794
   0.88398    0.019367
   0.84727    0.025991
   0.81162    0.032621
   0.77708    0.039215
   0.74367    0.045731
    0.7114    0.052131
   0.68027    0.058379
   0.65029    0.064442
   0.62142    0.070287
   0.59366    0.075885
   0.56697    0.081209
   0.54132    0.086234
   0.51666    0.090936
   0.49296    0.095294
   0.47016     0.09929
    0.4482      0.1029
   0.42705     0.10612
   0.40663     0.10893
   0.38689     0.11132
   0.36778     0.11328
   0.34923      0.1148
   0.33119     0.11587
   0.31362      0.1165
   0.29645     0.11667
   0.27964     0.11638
   0.26315     0.11563
   0.24694     0.11444
   0.23098     0.11279
   0.21524     0.11069
   0.19971     0.10815
   0.18438     0.10517
   0.16925     0.10177
   0.15433    0.097946
   0.13963    0.093715
   0.12519    0.089088
   0.11105    0.084077
  0.097265    0.078697
  0.083908    0.072961
  0.071058    0.066886
  0.058815    0.060489
  0.047292    0.053787
   0.03662    0.046799
  0.026946    0.039544
  0.018434    0.032043
  0.011271    0.024316
 0.0056575    0.016384
  0.001819   0.0082716
         0           0
         0           0
0.00012481    -0.00482
0.00061586  -0.0084992
 0.0016544   -0.011154
 0.0034016   -0.012896
 0.0059993    -0.01383
 0.0095711   -0.014056
  0.014222   -0.013669
  0.020042   -0.012759
  0.027102   -0.011409
   0.03546  -0.0096992
  0.045157   -0.007703
  0.056223  -0.0054896
  0.068671  -0.0031231
  0.082504 -0.00066282
  0.097714   0.0018368
   0.11428   0.0043259
   0.13217   0.0067593
   0.15135   0.0090963
   0.17177    0.011301
   0.19336    0.013341
   0.21608    0.015189
   0.23985    0.016823
   0.26458    0.018222
   0.29021    0.019373
   0.31665    0.020263
   0.34381    0.020887
   0.37161    0.021241
   0.39994    0.021326
   0.42871    0.021147
   0.45784    0.020711
   0.48723     0.02003
   0.51678     0.01912
   0.54641       0.018
   0.57604     0.01669
   0.60557    0.015218
   0.63492     0.01361
   0.66403      0.0119
   0.69283    0.010122
   0.72125   0.0083128
   0.74923   0.0065142
   0.77674   0.0047696
   0.80373   0.0031252
   0.83017   0.0016301
   0.85606  0.00033605
   0.88137 -0.00070278
   0.90611  -0.0014296
   0.93031  -0.0017854
   0.95399  -0.0017085
    0.9772  -0.0011354
         1           0
